Sl. No., Size, Duration, Bitrate, Width, Height, FPS,Total Time x1,Downscale Time x2,Upload Time x2,Upscale Time x2,Total Time x2,Speed Up x2,Downscale Time x4,Upload Time x4,Upscale Time x4,Total Time x4,Speed Up x4,QM x1,QM x2,QM x4,SSIM x1,SSIM x2,SSIM x4,PSNR x1,PSNR x2,PSNR x4
309,81, 1mn 4s, 10.5Mbps,1920,1080,30,240.09,7.964,74.121,73.47,155.555,1.543441227,7.31,41.281,74.605,123.196,1.948845742,67.574,63.452,63.833,100,91.281,80.651,100,33.234,30.415
310,70, 57s 958ms, 10.1Mbps,1920,1080,30,555.116,15.957,178.287,162.865,357.109,1.554472164,21.032,96.479,191.529,309.04,1.796259384,67.13,63.18,61.534,100,90.817,80.302,100,33.789,30.281
311,233, 3mn 8s, 10.3Mbps,1920,1080,30,270.858,8.416,90.568,92.688,191.672,1.413132852,9.854,40.761,86.774,137.389,1.971467876,67.922,64.869,63.066,100,91.135,80.192,100,33.856,29.593
312,83.7, 1mn 6s, 10.5Mbps,1920,1080,30,262.492,8.732,75.445,75.784,159.961,1.640974988,10.556,38.829,82.279,131.664,1.993650504,65.741,62.236,62.4,100,90.043,80.427,100,33.688,30.678
313,80.9, 1mn 5s, 10.3Mbps,1920,1080,30,234.431,9.58,84.238,74.363,168.181,1.393920835,10.146,41.076,69.22,120.442,1.946422344,69.36,66.577,65.304,100,90.669,80.555,100,33.695,29.869
314,83.5, 1mn 8s, 10.2Mbps,1920,1080,30,287.899,10.334,83.076,87.954,181.364,1.58740985,10.422,52.663,89.922,153.007,1.881606724,65.848,62.248,62.331,100,90.771,80.012,100,33.73,29.988
315,70.9, 59s 26ms, 10.1Mbps,1920,1080,30,244.279,8.12,74.886,71.301,154.307,1.58307141,7.627,45.324,73.709,126.66,1.928619927,69.8,65.855,64.481,100,90.526,80.735,100,33.692,29.55
316,62, 36s 3ms, 14.4Mbps,1920,1080,30,200.767,6.447,66.094,67.325,139.866,1.435423906,8.075,33.429,59.65,101.154,1.984765803,66.648,63.301,62.562,100,90.646,81.231,100,33.315,29.762
317,387, 3mn 56s, 13.7Mbps,1920,1080,30,937.683,25.859,308.859,303.058,637.776,1.470238767,39.976,165.133,311.997,517.106,1.813328408,68.505,64.559,62.995,100,91.396,80.364,100,33.734,29.587
318,89.1, 56s 424ms, 13.2Mbps,1920,1080,30,319.261,9.514,90.015,101.059,200.588,1.591625621,11.361,51.536,97.449,160.346,1.991075549,69.869,65.548,64.588,100,91.185,80.864,100,33.236,29.96
319,185, 1mn 51s, 13.9Mbps,1920,1080,30,663.533,16.942,186.886,220.294,424.122,1.564486162,23.787,119.988,203.181,346.956,1.912441347,66.275,62.102,61.8,100,90.405,80.192,100,33.821,30.161
320,1392.64, 11mn 29s, 16.9Mbps,1920,1080,30,2919.834,206.955,703.179,949.984,1860.118,1.569703642,276.366,498.732,756.567,1531.665,1.906313717,69.981,65.783,63.904,100,91.892,78.375,100,33.925,30.458
321,612, 5mn 2s, 17.0Mbps,1920,1080,30,1528.727,144.131,346.667,474.742,965.54,1.583287073,198.395,208.849,391.844,799.088,1.913089672,70.161,67.825,62.935,100,90.372,80.014,100,34.194,30.153
322,1402.88, 11mn 38s, 16.8Mbps,1920,1080,30,2913.834,214.252,701.498,982.291,1898.041,1.535179693,291.464,479.245,782.359,1553.068,1.876179279,73.143,69.153,63.762,100,90.983,76.297,100,33.995,30.174
323,1198.08, 9mn 48s, 17.1Mbps,1920,1080,30,2795.915,206.824,647.729,914.641,1769.194,1.580332626,254.263,412.388,804.492,1471.143,1.900505253,68.877,65.465,62.495,100,91.021,81.244,100,33.551,30.914
324,1218.56, 9mn 54s, 17.2Mbps,1920,1080,30,2741.884,194.848,613.933,879.637,1688.418,1.623936727,228.677,389.748,719.276,1337.701,2.049698699,69.724,63.355,61.548,100,90.815,80.342,100,33.778,30.572
325,1054.72, 11mn 18s, 13.1Mbps,1920,1080,30,2485.749,216.467,492.522,941.662,1650.651,1.505920391,249.623,227.592,841.782,1318.997,1.884575173,69.262,64.199,62.253,100,91.168,80.182,100,33.895,30.119
326,1536, 16mn 26s, 13.0Mbps,1920,1080,30,3138.975,319.682,673.783,1186.833,2180.298,1.439699986,274.746,419.446,1083.288,1777.48,1.765969237,68.117,65.128,63.019,100,92.128,81.728,100,34.102,30.213
