Sl. No., Size, Duration, Bitrate, Width, Height, FPS,Total Time x1,Downscale Time x2,Upload Time x2,Upscale Time x2,Total Time x2,Speed Up x2,Downscale Time x4,Upload Time x4,Upscale Time x4,Total Time x4,Speed Up x4,QM x1,QM x2,QM x4,SSIM x1,SSIM x2,SSIM x4,PSNR x1,PSNR x2,PSNR x4
52,4.07, 20s 693ms, 1649Kbps,1280,720,24,12.58,0.389,3.901,3.661,7.951,1.582190919,0.518,1.854,3.838,6.21,2.025764895,66.063,61.709,61.855,100,91.146,80.165,100,33.684,30.299
53,11, 1mn 1s, 1492Kbps,1280,720,24,32.118,1.029,10.257,9.814,21.1,1.522180095,1.12,4.944,10.225,16.289,1.971760083,65.38,62.027,59.893,100,90.253,81.02,100,33.051,30.396
54,4.37, 26s 951ms, 1360Kbps,1280,720,24,14.696,0.513,4.747,4.526,9.786,1.501737176,0.447,1.679,3.972,6.098,2.409970482,66.338,63.036,61.24,100,90.778,80.203,100,33.023,30.428
55,6.04, 33s 668ms, 1506Kbps,1280,720,24,17.152,0.624,5.036,5.55,11.21,1.530062444,0.781,2.301,5.427,8.509,2.015748031,67.055,63.703,61.603,100,91.496,80.541,100,33.929,29.545
56,10.8, 59s 74ms, 1537Kbps,1280,720,24,33.839,1.27,9.004,11.448,21.722,1.557821563,1.414,4.503,8.843,14.76,2.292615176,68.859,65.717,63.24,100,91.251,80.572,100,33.831,30.1
57,11.2, 58s 657ms, 1596Kbps,1280,720,24,37.351,1.095,11.702,11.462,24.259,1.539675997,1.382,5.591,9.009,15.982,2.3370667,69.384,65.599,63.2,100,90.721,80.17,100,33.552,30.426
58,5.32, 23s 780ms, 1877Kbps,1280,720,24,17.56,0.575,5.412,5.021,11.008,1.595203488,0.61,2.459,4.552,7.621,2.304159559,69.128,64.669,63.022,100,90.552,80.179,100,33.735,30.861
59,6.29, 35s 44ms, 1506Kbps,1280,720,24,18.705,0.712,5.194,6.339,12.245,1.52756227,0.755,3.156,5.863,9.774,1.913750767,69.1,65.371,65.129,100,90.705,81.188,100,33.398,30.998
60,18, 1mn 39s, 1520Kbps,1280,720,24,51.941,2.142,17.74,16.986,36.868,1.408836932,2.136,9.155,14.284,25.575,2.030928641,65.721,61.535,60.446,100,90.279,80.684,100,33.692,30.097
61,4.2, 22s 862ms, 1541Kbps,1280,720,24,15.092,0.496,4.334,4.57,9.4,1.605531915,0.559,2.168,3.47,6.197,2.435371954,69.759,65.599,63.837,100,90.337,80.193,100,33.854,30.432
62,4.71, 26s 701ms, 1479Kbps,1280,720,24,13.964,0.545,4.679,4.435,9.659,1.445698312,0.574,1.866,4.146,6.586,2.120255087,65.086,62.307,59.895,100,90.888,80.807,100,33.41,30.018
63,4.38, 21s 152ms, 1738Kbps,1280,720,24,13.949,0.397,3.807,4.777,8.981,1.553167799,0.475,1.726,3.911,6.112,2.282231675,67.939,63.798,64.112,100,91.013,81.196,100,33.521,30.01
64,6.04, 37s 130ms, 1364Kbps,1280,720,24,19.481,0.562,5.081,5.501,11.144,1.748115578,0.752,2.964,5.872,9.588,2.031810597,68.123,63.746,63.152,100,90.537,80.904,100,33.615,30.337
65,2.97, 13s 267ms, 1876Kbps,1280,720,24,9.03,0.266,2.778,3.19,6.234,1.448508181,0.335,1.147,2.576,4.058,2.225234105,69.5,64.686,65.275,100,91.356,81.108,100,33.88,30.489
66,3.35, 18s 524ms, 1518Kbps,1280,720,24,11.076,0.385,3.088,3.053,6.526,1.697211155,0.436,1.371,3.074,4.881,2.26920713,66.01,63.271,60.935,100,91.351,80.933,100,33.984,30.635
67,2.97, 15s 103ms, 1647Kbps,1280,720,24,10.628,0.29,3.098,3.087,6.475,1.641389961,0.363,1.448,2.66,4.471,2.377096846,66.909,63.608,63.307,100,91.218,80.674,100,33.235,30.725
68,7.4, 1mn 48s, 575Kbps,1280,720,24,24.309,0.803,8.033,7.413,16.249,1.496030525,0.946,3.285,6.774,11.005,2.208905043,69.055,64.613,64.101,100,90.799,80.606,100,33.298,29.794
69,1.87, 22s 278ms, 704Kbps,1280,720,24,5.754,0.189,1.734,1.895,3.818,1.507071765,0.209,0.768,1.57,2.547,2.259128386,68.979,64.223,64.299,100,90.796,81.018,100,33.888,29.902
70,4.86, 35s 128ms, 1162Kbps,1280,720,24,15.684,0.591,4.048,4.381,9.02,1.738802661,0.553,2.264,4.326,7.143,2.195716086,65.662,62.593,61.111,100,90.022,80.472,100,33.388,30.704
71,3.88, 40s 9ms, 814Kbps,1280,720,24,11.288,0.481,3.671,3.839,7.991,1.412589163,0.401,2.084,3.579,6.064,1.861477573,67.129,63.482,62.969,100,90.827,80.406,100,33.764,30.253
72,2.39, 22s 404ms, 896Kbps,1280,720,24,6.772,0.288,2.101,2.167,4.556,1.486391572,0.24,1.239,1.726,3.205,2.112948518,69.517,64.796,63.519,100,90.982,81.457,100,33.934,30.323
73,3.56, 28s 119ms, 1061Kbps,1280,720,24,12.065,0.339,3.677,2.906,6.922,1.742993355,0.395,1.519,3.086,5,2.413,68.433,65.258,64.408,100,90.089,81.019,100,33.143,30.617
74,1.54, 20s 651ms, 627Kbps,1280,720,24,4.789,0.156,1.29,1.335,2.781,1.722042431,0.175,0.575,1.214,1.964,2.438391039,67.553,64.472,62.876,100,91.117,81.124,100,33.513,30.703
75,2.83, 37s 506ms, 634Kbps,1280,720,24,8.261,0.299,3.064,2.498,5.861,1.409486436,0.365,1.347,2.311,4.023,2.053442704,68.744,65.683,63.434,100,91.1,81.42,100,33.423,30.905
76,7.65, 1mn 18s, 814Kbps,1280,720,24,22.778,0.927,7.55,6.897,15.374,1.481592299,0.947,3.41,7.421,11.778,1.933944643,69.123,66.117,64.597,100,91.161,81.364,100,33.931,30.107
77,1.7, 26s 617ms, 537Kbps,1280,720,24,5.927,0.153,1.746,1.757,3.656,1.621170678,0.182,0.928,1.551,2.661,2.227358136,68.737,65.662,62.661,100,90.992,80.607,100,32.416,30.948
78,1.71, 22s 487ms, 637Kbps,1280,720,24,5.183,0.193,1.72,1.411,3.324,1.559265945,0.169,0.886,1.28,2.335,2.219700214,68.84,64.343,64.352,100,90.907,81.31,100,32.202,30.576
79,5.01, 45s 349ms, 926Kbps,1280,720,24,15.634,0.532,5.456,4.126,10.114,1.545778129,0.564,2.365,4.203,7.132,2.19209198,65.669,61.182,62.254,100,91.137,81.368,100,33.485,30.991
80,2.99, 49s 771ms, 504Kbps,1280,720,24,9.318,0.292,2.674,2.74,5.706,1.633017876,0.297,1.501,2.914,4.712,1.977504244,69.513,65.721,64.907,100,91.217,80.363,100,33.283,30.349
81,5.48, 53s 192ms, 863Kbps,1280,720,24,18.497,0.598,4.536,5.506,10.64,1.73843985,0.619,2.686,4.926,8.231,2.247236059,69.717,66.865,65.012,100,91.499,80.544,100,33.735,30.292
82,2.43, 26s 993ms, 756Kbps,1280,720,24,8.009,0.26,2.372,1.97,4.602,1.740330291,0.296,1.223,2.131,3.65,2.194246575,69.751,66.491,64.001,100,90.398,81.496,100,33.642,30.628
83,1.98, 21s 152ms, 787Kbps,1280,720,24,5.928,0.224,1.93,1.736,3.89,1.523907455,0.196,0.918,1.936,3.05,1.943606557,67.785,64.364,64.298,100,91.319,80.666,100,33.224,29.947
84,3.13, 38s 841ms, 676Kbps,1280,720,24,8.771,0.346,3.07,2.745,6.161,1.423632527,0.323,1.346,2.286,3.955,2.217699115,65.261,62.522,61.751,100,90.445,80.337,100,33.296,30.35
85,3.42, 37s 130ms, 772Kbps,1280,720,24,11.731,0.412,3.432,3.607,7.451,1.574419541,0.364,1.406,3.397,5.167,2.270369654,66.851,63.965,63.08,100,90.392,81.246,100,33.735,30.222
86,13.3, 2mn 42s, 686Kbps,1280,720,24,41.231,1.541,13.447,11.133,26.121,1.578461774,1.716,6.387,9.877,17.98,2.293159066,65.11,61.642,59.719,100,90.543,81.332,100,33.775,30.06
87,6.28, 1mn 18s, 667Kbps,1280,720,24,18.026,0.648,5.187,5.53,11.365,1.586097668,0.666,2.573,5.263,8.502,2.12020701,69.712,65.273,64.81,100,91.074,80.739,100,33.526,29.637
88,8.33, 1mn 46s, 656Kbps,1280,720,24,25.195,0.831,7.109,8.153,16.093,1.565587523,1.013,4.135,8.207,13.355,1.886559341,65.216,60.895,59.404,100,91.187,80.403,100,33.028,30.205
89,2.35, 22s 862ms, 862Kbps,1280,720,24,7.255,0.267,2.136,2.231,4.634,1.565602072,0.247,0.85,2.133,3.23,2.246130031,68.741,64.65,64.007,100,90.1,80.198,100,33.079,30.926
90,7.84, 1mn 10s, 938Kbps,1280,720,24,25.309,0.919,8.604,6.522,16.045,1.57737613,0.834,3.899,7.693,12.426,2.036777724,66.219,62.174,62.802,100,90.15,80.125,100,33.085,30.718
91,3.51, 25s 699ms, 1144Kbps,1280,720,24,9.891,0.374,2.934,3.049,6.357,1.555922605,0.404,1.691,3.216,5.311,1.862361137,68.524,64.198,63.704,100,91.136,80.243,100,33.881,30.48
92,5.65, 50s 981ms, 930Kbps,1280,720,24,18.53,0.58,6.148,5.111,11.839,1.565165977,0.723,2.332,5.034,8.089,2.290765237,68.815,65.927,65.373,100,90.541,80.377,100,33.61,30.07
93,2.31, 20s 568ms, 942Kbps,1280,720,24,7.785,0.258,2.243,2.513,5.014,1.552652573,0.241,1.226,1.784,3.251,2.394647801,67.189,62.497,62.309,100,90.208,81.267,100,33.759,30.02
94,1.56, 23s 280ms, 563Kbps,1280,720,24,4.64,0.174,1.254,1.553,2.981,1.556524656,0.193,0.811,1.42,2.424,1.914191419,65.208,61.608,59.963,100,90.213,80.457,100,33.888,29.626
95,1.7, 19s 275ms, 741Kbps,1280,720,24,6.055,0.203,1.77,1.576,3.549,1.706114398,0.228,0.841,1.632,2.701,2.24176231,65.108,61.959,61.766,100,90.12,81.116,100,33.37,30.766
96,3.53, 41s 678ms, 711Kbps,1280,720,24,10.799,0.403,2.868,3.608,6.879,1.569850269,0.433,1.779,3.441,5.653,1.910313108,68.802,64.063,64.868,100,91.457,81.378,100,33.604,30.573
97,3.5, 35s 962ms, 816Kbps,1280,720,24,11.699,0.344,2.809,3.689,6.842,1.709880152,0.407,1.922,2.817,5.146,2.273416246,66.737,63.534,62.46,100,91.449,80.089,100,33.019,30.734
98,36.9, 3mn 30s, 1470Kbps,1280,720,24,114.761,4.093,37.863,39.839,81.795,1.40303197,4.913,19.412,29.429,53.754,2.134929494,65.652,62.103,59.957,100,91.31,80.238,100,33.342,30.427
99,4.17, 25s 407ms, 1378Kbps,1280,720,24,12.994,0.437,4.274,3.698,8.409,1.545249138,0.505,1.47,3.78,5.755,2.257862728,68.111,64.24,62.218,100,90.237,80.233,100,33.002,29.955
100,6.09, 34s 961ms, 1462Kbps,1280,720,24,18.286,0.664,6.561,5.523,12.748,1.434421086,0.773,3.204,5.456,9.433,1.938513728,67.646,63.178,61.875,100,90.328,81.358,100,33.624,30.87
101,9.5, 51s 940ms, 1534Kbps,1280,720,24,29.25,0.955,10.235,8.434,19.624,1.49052181,1.08,3.915,8.896,13.891,2.105679937,67.03,63.102,62.874,100,90.73,80.891,100,33.942,29.765
102,20.1, 1mn 54s, 1466Kbps,1280,720,24,58.89,2.435,16.581,16.162,35.178,1.67405765,2.279,10.653,15.292,28.224,2.086522109,68.526,65.762,64.471,100,91.342,81.4,100,33.862,29.892
103,5.38, 27s 410ms, 1647Kbps,1280,720,24,18.987,0.658,5.207,5.214,11.079,1.713782832,0.722,2.803,5.102,8.627,2.200880955,67.644,64.205,63.506,100,91.057,80.035,100,33.461,30.116
104,6.5, 36s 171ms, 1508Kbps,1280,720,24,22.67,0.756,7.066,6.796,14.618,1.550827747,0.685,2.91,6.302,9.897,2.290593109,69.526,66.302,63.68,100,91.24,80.407,100,33.734,29.771
105,21.5, 2mn 3s, 1469Kbps,1280,720,24,72.027,2.103,18.252,21.162,41.517,1.734879688,2.501,10.898,20.968,34.367,2.095818663,68.344,64.126,63.7,100,90.128,80.442,100,33.144,29.863
106,3.69, 19s 984ms, 1550Kbps,1280,720,24,13.135,0.375,4.05,3.613,8.038,1.634112963,0.477,1.904,3.686,6.067,2.164990935,65.071,61.922,61.5,100,90.692,80.694,100,33.872,30.723
107,26.3, 2mn 24s, 1531Kbps,1280,720,24,86.994,3.022,27.208,22.755,52.985,1.641860904,2.676,12.803,25.558,41.037,2.119891805,68.72,65.431,64.705,100,90.552,81.357,100,33.215,30.257
108,28.9, 2mn 36s, 1545Kbps,1280,720,24,97.606,3.076,29.886,25.672,58.634,1.664665552,3.679,14.443,23.837,41.959,2.326223218,67.902,63.271,63.507,100,91.397,80.355,100,33.326,30.582
109,11.5, 1mn 3s, 1526Kbps,1280,720,24,37.659,1.363,10.961,12.366,24.69,1.52527339,1.156,5.808,10.694,17.658,2.132687734,67.469,64.614,61.514,100,91.057,81.475,100,33.028,29.825
110,9.22, 47s 810ms, 1618Kbps,1280,720,24,32.956,0.928,9.233,10.042,20.203,1.631242885,0.966,4.269,8.428,13.663,2.412061773,66.574,61.948,61.517,100,90.775,81.404,100,33.048,30.14
111,12, 1mn 13s, 1380Kbps,1280,720,24,33.939,1.159,9.619,12.666,23.444,1.447662515,1.393,4.522,11.312,17.227,1.970105068,67.642,63.229,63.649,100,91.45,80.701,100,33.455,30.856
112,6.48, 33s 918ms, 1603Kbps,1280,720,24,20.319,0.755,5.915,6.227,12.897,1.57548267,0.77,3.277,6.071,10.118,2.008203202,68.401,63.906,64.554,100,91.365,81.243,100,33.564,30.658
113,8.89, 42s 429ms, 1757Kbps,1280,720,24,25.453,0.905,8.084,7.967,16.956,1.501120547,1.094,3.601,7.663,12.358,2.059637482,65.392,61.97,60.632,100,90.254,80.904,100,33.518,30.323
114,3.9, 21s 27ms, 1555Kbps,1280,720,24,12.416,0.484,3.37,3.845,7.699,1.612676971,0.387,1.41,3.543,5.34,2.325093633,68.975,64.899,64.693,100,91.059,80.777,100,33.09,30.866
115,8.07, 44s 556ms, 1520Kbps,1280,720,24,28.29,0.976,8.746,7.987,17.709,1.5974928,0.987,4.024,7.798,12.809,2.208603326,69.448,66.404,65.489,100,91.174,80.026,100,32.856,30.829
116,3.46, 19s 358ms, 1499Kbps,1280,720,24,10.161,0.409,3.349,3.361,7.119,1.427307206,0.426,1.279,2.454,4.159,2.443135369,69.783,66.755,65.639,100,90.253,80.284,100,33.429,30.474
117,6.16, 29s 788ms, 1735Kbps,1280,720,24,20.034,0.687,5.006,6.501,12.194,1.64293915,0.807,3.147,4.627,8.581,2.334692926,65.253,61.545,59.725,100,90.778,80.845,100,33.916,30.747
118,5.57, 27s 618ms, 1691Kbps,1280,720,24,18.403,0.653,5.924,5.73,12.307,1.495327862,0.615,3.03,5.27,8.915,2.064273696,69.31,65.951,63.508,100,90.341,80.595,100,33.979,30.524
119,8.2, 42s 429ms, 1620Kbps,1280,720,24,29.306,0.81,8.081,7.863,16.754,1.749194222,1.081,3.59,7.3,11.971,2.448082867,69.794,65.603,65.124,100,90.38,80.99,100,33.925,29.888
120,5.58, 32s 41ms, 1460Kbps,1280,720,24,15.984,0.626,4.512,5.11,10.248,1.55971897,0.635,2.11,5.571,8.316,1.922077922,66.365,62.181,61.393,100,91.058,80.916,100,33.992,29.829
121,22.1, 1mn 51s, 1660Kbps,1280,720,24,71.133,2.227,19.207,22.976,44.41,1.601733844,2.253,11.49,16.855,30.598,2.324759788,65.486,61.448,60.836,100,90.797,80.945,100,33.345,30.3
122,8.36, 40s 384ms, 1737Kbps,1280,720,24,28.198,0.752,7.099,8.992,16.843,1.67416731,0.887,3.493,8.109,12.489,2.257826888,68.307,63.608,63.317,100,90.197,81.3,100,33.522,29.788
123,4.72, 27s 243ms, 1453Kbps,1280,720,24,16.254,0.42,5.13,4.207,9.757,1.665880906,0.62,2.316,4.337,7.273,2.234841193,66.539,63.168,62.125,100,90.6,80.505,100,33.214,29.974
124,6.28, 36s 87ms, 1461Kbps,1280,720,24,21.358,0.602,5.738,6.332,12.672,1.685448232,0.821,3.128,5.36,9.309,2.294338812,66.523,63.45,62.344,100,90.108,80.675,100,33.228,29.949
125,6.45, 32s 917ms, 1643Kbps,1280,720,24,19.206,0.706,6.802,5.321,12.829,1.497076935,0.801,2.937,6.3,10.038,1.913329348,66.282,62.149,61.635,100,90.028,80.005,100,33.928,30.224
126,4.23, 25s 783ms, 1376Kbps,1280,720,24,12.105,0.405,4.041,4.027,8.473,1.42865573,0.499,1.608,3.947,6.054,1.99950446,66.601,61.986,61.043,100,91.393,80.238,100,33.709,29.82
127,2.53, 13s 643ms, 1557Kbps,1280,720,24,8.04,0.314,2.567,2.532,5.413,1.485313135,0.32,1.169,1.96,3.449,2.331110467,66.926,62.894,62.503,100,91.267,81.154,100,33.1,30.826
128,13.5, 1mn 14s, 1521Kbps,1280,720,24,46.582,1.484,14.372,11.968,27.824,1.674166187,1.751,5.791,12.689,20.231,2.302506055,69.245,65.424,64.609,100,90.241,80.299,100,33.593,30.817
129,8.85, 51s 440ms, 1444Kbps,1280,720,24,27.278,0.979,8.224,7.281,16.484,1.654816792,1.102,4.653,8.235,13.99,1.949821301,68.282,63.809,62.583,100,90.344,81.362,100,33.04,30.239
130,9.19, 50s 147ms, 1538Kbps,1280,720,24,31.257,0.898,9.522,8.847,19.267,1.622307573,1.222,4.972,8.442,14.636,2.135624488,66.349,61.711,62.838,100,91.092,81.375,100,33.622,30.994
131,6.62, 40s 968ms, 1355Kbps,1280,720,24,20.162,0.598,5.537,5.8,11.935,1.689317134,0.689,3.36,6.107,10.156,1.985230406,69.38,65.195,65.185,100,91.096,80.948,100,33.909,30.604
132,15.6, 1mn 23s, 1569Kbps,1280,720,24,48.163,1.588,14.656,13.474,29.718,1.620667609,1.903,6.012,15.015,22.93,2.10043611,67.19,62.645,61.37,100,90.884,81.12,100,33.918,30.738
133,3.56, 22s 779ms, 1311Kbps,1280,720,24,12.254,0.318,3.325,3.836,7.479,1.638454339,0.401,1.45,3.244,5.095,2.405103042,67.931,63.209,64.096,100,90.273,81.336,100,33.468,30.524
134,12.5, 1mn 1s, 1704Kbps,1280,720,24,35.856,1.48,12.762,10.802,25.044,1.431720172,1.483,5.207,12.175,18.865,1.900662603,68.517,64.788,63.106,100,90.022,80.14,100,33.145,30.265
135,7.58, 38s 6ms, 1673Kbps,1280,720,24,25.407,0.888,7.41,7.604,15.902,1.597723557,0.946,2.837,7.105,10.888,2.333486407,67.517,63.869,61.557,100,90.471,80.323,100,33.807,30.025
136,19.2, 1mn 45s, 1527Kbps,1280,720,24,63.971,2.002,18.409,17.935,38.346,1.668257445,2.231,9.676,15.831,27.738,2.306258562,66.873,62.238,61.919,100,90.933,80.328,100,33.451,30.482
137,12.7, 1mn 11s, 1497Kbps,1280,720,24,43.294,1.443,13.125,13.415,27.983,1.547153629,1.575,6.058,11.285,18.918,2.288508299,68.896,64.631,63.303,100,91.126,81.442,100,33.902,29.878
138,5.55, 30s 205ms, 1541Kbps,1280,720,24,19.142,0.574,4.994,5.892,11.46,1.670331588,0.659,2.954,5.177,8.79,2.177701934,68.506,65.692,64.704,100,90.819,81.178,100,33.37,30.529
139,10.8, 1mn 0s, 1510Kbps,1280,720,24,35.909,0.976,10.741,11.872,23.589,1.522277333,1.168,5.11,8.379,14.657,2.449955653,68.895,65.802,63.762,100,91.059,80.613,100,33.689,29.756
140,4.14, 25s 824ms, 1346Kbps,1280,720,24,14.844,0.378,4.09,4.19,8.658,1.714483714,0.451,2.09,3.683,6.224,2.38496144,66.409,63.215,61.987,100,91.332,81.332,100,33.467,29.808
141,20, 1mn 44s, 1603Kbps,1280,720,24,58.371,1.933,19.606,18.477,40.016,1.458691523,2.178,10.804,17.034,30.016,1.944662846,69.203,64.93,63.836,100,90.142,80.164,100,33.669,30.433
142,10.6, 57s 656ms, 1541Kbps,1280,720,24,33.999,1.206,11.113,10.904,23.223,1.464022736,1.41,5.286,8.258,14.954,2.273572288,66.54,62.479,62.206,100,90.325,81.166,100,33.472,29.831
143,11.4, 58s 449ms, 1631Kbps,1280,720,24,32.841,1.342,10.623,10.065,22.03,1.4907399,1.531,5.699,11.009,18.239,1.800592138,69.814,66.495,63.776,100,90.604,80.82,100,33.163,30.632
144,12.6, 2mn 35s, 680Kbps,1280,720,24,44.415,1.209,13.501,13.679,28.389,1.564514425,1.304,6.248,12.448,20,2.22075,69.147,66.295,63.064,100,91.29,80.871,100,33.065,30.184
145,3.39, 1mn 1s, 464Kbps,1280,720,24,11.248,0.408,3.06,3.685,7.153,1.572487068,0.423,1.684,2.795,4.902,2.294573643,68.166,64.137,63.218,100,91.081,80.917,100,33.04,30.874
146,6.19, 43s 430ms, 1196Kbps,1280,720,24,19.509,0.641,5.437,6.066,12.144,1.606472332,0.822,2.772,4.549,8.143,2.395800074,69.415,66.037,63.939,100,90.589,80.836,100,33.177,30.84
147,7.9, 1mn 27s, 759Kbps,1280,720,24,26.911,0.802,8.153,8.433,17.388,1.547676559,0.972,3.314,7.326,11.612,2.317516362,69.813,65.942,65.31,100,90.155,81.276,100,33.847,29.853
148,2.95, 46s 392ms, 534Kbps,1280,720,24,9.646,0.357,2.511,2.976,5.844,1.650581793,0.388,1.309,2.38,4.077,2.365955359,66.63,62.225,62.334,100,91.494,80.287,100,33.492,29.675
149,3.88, 32s 499ms, 1002Kbps,1280,720,24,12.063,0.354,3.374,3.73,7.458,1.617457763,0.388,1.669,3.819,5.876,2.052927161,65.379,61.644,59.574,100,91.455,80.845,100,33.36,29.938
150,3.32, 34s 794ms, 800Kbps,1280,720,24,11.097,0.352,3.599,3.27,7.221,1.536767761,0.4,1.47,3.242,5.112,2.170774648,65.599,61.519,60.517,100,91.226,80.8,100,33.466,30.88
151,5.67, 1mn 26s, 553Kbps,1280,720,24,18.166,0.693,5.101,4.999,10.793,1.683127953,0.669,2.731,5.499,8.899,2.041352961,67.886,63.304,64.41,100,90.354,81.382,100,33.489,29.866
152,1.95, 22s 195ms, 738Kbps,1280,720,24,6.355,0.24,2.06,1.771,4.071,1.561041513,0.248,0.948,1.816,3.012,2.109893758,66.493,63.251,62.128,100,91.46,80.313,100,33.422,29.708
153,3.29, 28s 494ms, 970Kbps,1280,720,24,11.62,0.327,3.145,3.366,6.838,1.699327289,0.39,1.509,3.028,4.927,2.358433124,67.474,64.667,62.547,100,90.526,80.535,100,33.548,30.927
154,2.14, 30s 789ms, 583Kbps,1280,720,24,6.498,0.267,1.931,2.025,4.223,1.538716552,0.215,1.027,2.02,3.262,1.99202943,69.434,64.59,63.531,100,90.796,80.876,100,32.894,30.34
155,3.24, 53s 25ms, 513Kbps,1280,720,24,9.252,0.294,2.935,3.127,6.356,1.455632473,0.36,1.467,2.984,4.811,1.923092912,68.703,64.155,63.094,100,91.106,80.855,100,33.27,29.797
156,3.41, 26s 867ms, 1065Kbps,1280,720,24,9.821,0.312,3.47,3.054,6.836,1.436658865,0.428,1.37,2.814,4.612,2.129444926,68.649,65.137,64.452,100,90.457,80.295,100,33.102,29.591
157,2.58, 19s 733ms, 1096Kbps,1280,720,24,7.822,0.29,2.248,2.215,4.753,1.645697454,0.342,1.311,1.957,3.61,2.166759003,67.793,64.232,61.707,100,91.193,81.101,100,33.837,30.598
158,9.1, 1mn 27s, 869Kbps,1280,720,24,30.364,0.841,9.689,7.901,18.431,1.64744181,1.097,4.93,7.354,13.381,2.269187654,67.112,62.853,63.569,100,90.992,81.178,100,33.229,30.444
159,6.91, 1mn 33s, 619Kbps,1280,720,24,19.396,0.708,6.376,6.125,13.209,1.468392763,0.693,3.097,6.447,10.237,1.894695712,69.221,65.465,65.122,100,90.474,80.041,100,33.029,30.564
160,3.02, 26s 409ms, 960Kbps,1280,720,24,9.875,0.339,2.892,2.979,6.21,1.590177134,0.36,1.1,2.664,4.124,2.394519884,66.135,63.194,60.846,100,90.392,80.018,100,33.342,30.425
161,3.8, 47s 226ms, 676Kbps,1280,720,24,10.877,0.449,3.632,3.222,7.303,1.489387923,0.485,1.464,3.249,5.198,2.092535591,68.816,65.684,64.005,100,91.43,80.438,100,33.339,29.703
162,9.59, 1mn 32s, 874Kbps,1280,720,24,34.127,0.896,10.373,9.925,21.194,1.610219874,1.204,4.556,8.209,13.969,2.443052473,67.117,63.784,63.133,100,90.955,80.407,100,33.585,29.972
163,3.05, 29s 788ms, 858Kbps,1280,720,24,10.19,0.318,3.057,2.803,6.178,1.649401101,0.316,1.444,2.933,4.693,2.171318986,65.932,62.012,61.219,100,90.098,80.524,100,33.163,30.063
164,2.53, 29s 204ms, 726Kbps,1280,720,24,8.397,0.285,2.344,2.279,4.908,1.710880196,0.314,1.195,2.471,3.98,2.109798995,67.37,64.126,63.52,100,90.866,80.143,100,33.23,29.823
165,1.72, 22s 612ms, 640Kbps,1280,720,24,5.386,0.192,1.698,1.853,3.743,1.438952712,0.185,0.937,1.561,2.683,2.007454342,69.258,66.474,63.087,100,91.067,80.543,100,33.509,30.144
166,11.9, 1mn 24s, 1184Kbps,1280,720,24,41.842,1.224,12.988,10.708,24.92,1.67905297,1.585,5.371,10.758,17.714,2.362086485,68.557,64.955,62.655,100,90.378,80.607,100,33.112,30.841
167,3.51, 22s 153ms, 1328Kbps,1280,720,24,10.822,0.315,3.143,3.118,6.576,1.645681265,0.461,1.794,2.771,5.026,2.153203343,66.145,62.078,60.908,100,90.427,80.638,100,33.015,29.99
168,4.26, 31s 707ms, 1127Kbps,1280,720,24,13.695,0.424,4.365,3.552,8.341,1.641889462,0.436,1.757,3.864,6.057,2.261020307,68.83,64.977,64.229,100,91.035,80.897,100,33.684,29.733
169,10.4, 1mn 20s, 1085Kbps,1280,720,24,35.194,0.945,11.353,11.186,23.484,1.49863737,1.062,4.773,9.521,15.356,2.291872884,68.534,65.471,63.569,100,90.342,80.974,100,32.556,29.77
170,9.5, 1mn 26s, 918Kbps,1280,720,24,31.662,1.174,8.537,9.625,19.336,1.637463798,1.149,5.183,6.914,13.246,2.390306508,68.108,63.698,62.766,100,90.993,80.105,100,33.359,30.248
